PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
2407,0,0,0.056,273.658,204.491,0,0,0,0
2408,0,0,0.056,274.021,204.499,0,0,0,0
2409,0,0,0.056,274.379,204.506,0,0,0,0
2410,0,0,0.056,274.736,204.514,0,0,0,0
2411,0,0,0.056,275.089,204.521,0,0,0,0
2412,0,0,0.056,275.44,204.529,0,0,0,0
2413,0,0,0.056,275.787,204.536,0,0,0,0
2414,0,0,0.056,276.132,204.543,0,0,0,0
2415,0,0,0.056,276.475,204.55,0,0,0,0
2416,0,0,0.056,276.817,204.558,0,0,0,0
2417,0,0,0.055,277.16,204.565,0,0,0,0
2418,0,0,0.055,277.507,204.572,0,0,0,0
2419,0,0,0.055,277.859,204.579,0,0,0,0
2420,0,0,0.055,278.217,204.587,0,0,0,0
2421,0,0,0.055,278.582,204.595,0,0,0,0
2422,0,0,0.055,278.954,204.602,0,0,0,0
2423,0,0,0.055,279.333,204.61,0,0,0,0
2424,0,0,0.055,279.718,204.618,0,0,0,0
2425,0,0,0.055,280.106,204.626,0,0,0,0
2426,0,0,0.055,280.495,204.635,0,0,0,0
2427,0,0,0.055,280.883,204.643,0,0,0,0
2428,0,0,0.055,281.27,204.651,0,0,0,0
2429,0,0,0.055,281.654,204.659,0,0,0,0
2430,0,0,0.055,282.037,204.667,0,0,0,0
2431,0,0,0.055,282.416,204.675,0,0,0,0
2432,0,0,0.055,282.793,204.683,0,0,0,0
2433,0,0,0.055,283.166,204.691,0,0,0,0
2434,0,0,0.056,283.537,204.698,0,0,0,0
2435,0,0,0.056,283.905,204.706,0,0,0,0
2436,0,0,0.056,284.271,204.714,0,0,0,0
2437,0,0,0.056,284.633,204.721,0,0,0,0
2438,0,0,0.056,284.992,204.729,0,0,0,0
2439,0,0,0.056,285.349,204.736,0,0,0,0
2440,0,0,0.056,285.703,204.744,0,0,0,0
2441,0,0,0.056,286.053,204.751,0,0,0,0
2442,0,0,0.056,286.402,204.758,0,0,0,0
2443,0,0,0.056,286.747,204.766,0,0,0,0
2444,0,0,0.056,287.089,204.773,0,0,0,0
2445,0,0,0.056,287.429,204.78,0,0,0,0
2446,0,0,0.056,287.766,204.787,0,0,0,0
2447,0,0,0.056,288.1,204.794,0,0,0,0
2448,0,0,0.056,288.432,204.801,0,0,0,0
2449,0,0,0.056,288.76,204.808,0,0,0,0
2450,0,0,0.056,289.086,204.815,0,0,0,0
2451,0,0,0.056,289.41,204.821,0,0,0,0
2452,0,0,0.056,289.731,204.828,0,0,0,0
2453,0,0,0.056,290.049,204.835,0,0,0,0
2454,0,0,0.056,290.365,204.841,0,0,0,0
2455,0,0,0.055,290.68,204.848,0,0,0,0
2456,0,0,0.055,290.997,204.855,0,0,0,0
2457,0,0,0.055,291.317,204.861,0,0,0,0
2458,0,0,0.055,291.643,204.868,0,0,0,0
2459,0,0,0.055,291.974,204.875,0,0,0,0
2460,0,0,0.055,292.312,204.882,0,0,0,0
2461,0,0,0.055,292.658,204.889,0,0,0,0
2462,0,0,0.055,293.011,204.897,0,0,0,0
2463,0,0,0.055,293.371,204.904,0,0,0,0
2464,0,0,0.055,293.739,204.912,0,0,0,0
2465,0,0,0.055,294.115,204.92,0,0,0,0
2466,0,0,0.055,294.499,204.928,0,0,0,0
2467,0,0,0.055,294.889,204.936,0,0,0,0
2468,0,0,0.055,295.282,204.944,0,0,0,0
2469,0,0,0.055,295.676,204.953,0,0,0,0
2470,0,0,0.055,296.07,204.961,0,0,0,0
2471,0,0,0.055,296.461,204.969,0,0,0,0
2472,0,0,0.055,296.851,204.977,0,0,0,0
2473,0,0,0.055,297.238,204.985,0,0,0,0
2474,0,0,0.055,297.622,204.993,0,0,0,0
2475,0,0,0.055,298.004,205.001,0,0,0,0
2476,0,0,0.055,298.383,205.009,0,0,0,0
2477,0,0,0.056,298.758,205.017,0,0,0,0
2478,0,0,0.056,299.131,205.025,0,0,0,0
2479,0,0,0.056,299.501,205.033,0,0,0,0
2480,0,0,0.056,299.869,205.04,0,0,0,0
2481,0,0,0.056,300.234,205.048,0,0,0,0
2482,0,0,0.056,300.598,205.056,0,0,0,0
2483,0,0,0.055,300.963,205.063,0,0,0,0
2484,0,0,0.055,301.333,205.071,0,0,0,0
2485,0,0,0.055,301.706,205.079,0,0,0,0
2486,0,0,0.055,302.087,205.087,0,0,0,0
2487,0,0,0.055,302.473,205.095,0,0,0,0
2488,0,0,0.055,302.868,205.103,0,0,0,0
2489,0,0,0.055,303.269,205.112,0,0,0,0
2490,0,0,0.056,303.676,205.12,0,0,0,0
2491,0,0,0.056,304.086,205.129,0,0,0,0
2492,0,0,0.056,304.497,205.137,0,0,0,0
2493,0,0,0.057,304.906,205.146,0,0,0,0
2494,0,0,0.057,305.314,205.155,0,0,0,0
2495,0,0,0.058,305.72,205.163,0,0,0,0
2496,0,0,0.058,306.123,205.171,0,0,0,0
2497,0,0,0.058,306.523,205.18,0,0,0,0
2498,0,0,0.059,306.92,205.188,0,0,0,0
2499,0,0,0.059,307.314,205.196,0,0,0,0
